Date,IC1,IC2,IC3,IC4,IC5,IC6,IC7,IC8,IC9,IC10
2020-01-22,-6.3401753996970935,-1.5929716813850703,-0.857163594147745,-0.32993326093238007,-2.648707450549742,-0.8769766980568803,-0.14720678224114217,0.2527740605742194,0.9919509724236416,-0.18340493775223604
2020-01-23,-6.310008877271427,-1.5756533422610142,-0.8074781466915874,-0.30385431640838173,-2.5973030506486054,-0.8068766038076544,-0.1019149538754271,0.322464574069922,0.984474099907186,-0.19750051556048812
2020-01-24,-6.309730601506253,-1.575493586555567,-0.8070198155749427,-0.3036137471395799,-2.596828862788509,-0.8062299546152026,-0.10149715237956534,0.323107445021185,0.984405128336939,-0.19763054240431002
2020-01-25,-6.308105851841767,-1.5745608318520492,-0.8043437890530498,-0.3022091518147478,-2.59406025458389,-0.8024544082328641,-0.09905776338063145,0.3268609316452777,0.9840024287502536,-0.1983897212381041
2020-01-26,-6.311081200566852,-1.5762689537729728,-0.8092443052828651,-0.30478133939560936,-2.5991303124961482,-0.8093684377358235,-0.10352493337401703,0.3199872994262847,0.9847398787882625,-0.1969994628957818
2020-01-27,-6.309481713375685,-1.5753507020364839,-0.8066098870469106,-0.30339858346714443,-2.5964047520867894,-0.8056515955599521,-0.10112347329475169,0.32368242484078635,0.9843434405892786,-0.19774683761263584
2020-01-28,-6.314790524523897,-1.578398444514485,-0.8153537075522095,-0.30798804822111864,-2.6054510799137605,-0.8179880577013167,-0.10909408919664394,0.31141804216683944,0.9856592470189706,-0.19526624805202947
2020-01-29,-6.31727032914149,-1.5798220788573123,-0.819438043170693,-0.31013183815288425,-2.609676720060169,-0.823750556107994,-0.11281725236194741,0.30568921287950895,0.9862738748083398,-0.19410753713257703
2020-01-30,-6.3184262148443695,-1.5804856628232946,-0.8213418323295959,-0.31113110080225975,-2.6116463740385907,-0.8264365699471082,-0.11455269193720026,0.30301889287909883,0.9865603649089258,-0.1935674391845098
2020-01-31,-6.317431156921528,-1.57991440869222,-0.8197029328421612,-0.3102708736934881,-2.609950774039733,-0.8241242830619884,-0.11305871818644836,0.3053176695369511,0.9863137365064024,-0.19403238891180088
2020-02-01,-6.317362567576022,-1.5798750321433075,-0.8195899634957367,-0.3102115782363843,-2.6098338963268914,-0.8239648971202866,-0.1129557385714786,0.30547612421864817,0.9862967364098988,-0.1940644378978513
2020-02-02,-6.504696814125874,-1.8381101814178573,-0.8499002299785126,0.20247954277006444,-0.005139714668525111,-0.44744381299065733,-0.7304754840604558,-0.9285580075265646,-1.1315219562544847,0.30985691738235377
2020-02-03,-6.504902271294015,-1.8382281325977483,-0.8502386260053405,0.2023019251443285,-0.005489818080663083,-0.44792124842877357,-0.7307839561695241,-0.9290326534054292,-1.1314710330147393,0.309952919084468
2020-02-04,-6.50607403067526,-1.8389008295049305,-0.8521685597360721,0.2012889397074328,-0.007486521146781959,-0.45064414906358025,-0.7325432283863357,-0.9317396446794058,-1.1311806085703868,0.3105004341509344
2020-02-05,-6.506349379014212,-1.8390589046003598,-0.8526220692667401,0.20105090119722652,-0.00795572060994468,-0.45128399558746973,-0.7329566346627573,-0.9323757527087293,-1.1311123625724249,0.31062909312863457
2020-02-06,-6.506096842434828,-1.8389139255384286,-0.8522061316001875,0.20126921895195804,-0.0075253928733520275,-0.45069715837214963,-0.7325774778196809,-0.9317923442652446,-1.1311749546002081,0.3105110931499202
2020-02-07,-6.4861929675254535,-1.8118690726502298,-0.848261747572574,0.1485522915418292,-0.2766606154402951,-0.4885892989541407,-0.66784223934985,-0.8027636735458632,-0.9117925663747488,0.25805395010667614
2020-02-08,-6.485076882386935,-1.811228337843367,-0.8464235115066525,0.1495171466219311,-0.2747587824754462,-0.48599577251791043,-0.6661665560933616,-0.8001853005630403,-0.9120691917736081,0.2575324493288077
2020-02-09,-6.483952284530345,-1.8105827159588215,-0.8445712546596548,0.15048936094282775,-0.27284244365678784,-0.48338246447307737,-0.6644780918951178,-0.7975872615515751,-0.9123479270778423,0.25700697090716773
2020-02-10,-6.482478788390762,-1.8097367945933018,-0.8421443486349208,0.15176319766614293,-0.27033157469605334,-0.4799583966669469,-0.6622657939938266,-0.7941831998850525,-0.9127131379773185,0.25631846663768054
2020-02-11,-6.481090597466214,-1.8089398462125443,-0.8398579436503667,0.15296328807096785,-0.26796606764762326,-0.4767325586577273,-0.6601815728096191,-0.7909762097986026,-0.9130572056966558,0.25566982199400695
2020-02-12,-6.481204362931504,-1.8090051579803605,-0.8400453198407087,0.15286493787944835,-0.2681599264355268,-0.4769969235628564,-0.6603523795686863,-0.791239030072755,-0.9130290085492113,0.25572297992667375
2020-02-13,-6.443213551800431,-1.703365772048961,-0.7661296924134116,0.193368952969326,-0.2712201076731004,-0.42252859976061125,-0.6667852788428381,-0.7668782902710444,-1.086343217207417,0.30060464537245035
2020-02-14,-6.4442492828905324,-1.7062712610150121,-0.768148277426764,0.19226237694284065,-0.2711160744022341,-0.4240032754744411,-0.6665906107700106,-0.7675231593960768,-1.0815683975902068,0.29936201606986007
2020-02-15,-6.2240214223520915,-1.746675938148235,-0.8458308929490646,0.341602470481506,0.4648538193837611,-0.2827643078542132,-0.6240761889127152,-0.7251635049868173,-0.2764341538648345,0.33287832882565804
2020-02-16,-6.250597094031011,-1.8349480275089407,-0.8254838355723364,0.2593010876607933,0.858326389507138,-0.11055763759569437,-0.5179423964109069,-0.5651418740736321,-0.016711315825965464,0.4098156103008431
