Country,IC1,IC2,IC3
Afghanistan,0.014461579476453323,9.364868376976574,2.943920510300894
Albania,2.1269184662210026,9.486767286821463,-0.5896436004334445
Algeria,3.5103475224930003,9.574655107475063,0.9791037577905091
Andorra,-0.24914198122814527,9.31889348469459,-5.898069409519819
Angola,-1.826931454078375,4.84277513536051,-0.3554196155695824
Antigua and Barbuda,-0.9627288205931731,3.134535846270422,-0.15396763166783758
Argentina,3.971395203379904,10.458266880516316,-0.011648846764521418
Armenia,0.5702851919251233,10.493534996348021,-1.8825273782929615
Australia,10.411919232372744,5.1061515194257785,-7.286701786623656
Austria,13.356637044835804,6.3555624976581075,-2.684314068051816
Azerbaijan,0.9174873820097874,9.655691611723846,0.31156732013459576
Bahamas,-2.4055460569067475,6.390011088903557,0.6179885759548173
Bahrain,3.7313936149324536,4.438893708745651,3.537516834941046
Bangladesh,-5.146851431061115,10.674809617858777,2.863761464178665
Barbados,-0.7178759253641838,6.113257843245231,-2.3667867212167226
Belarus,-1.0583146379743362,8.597412311737804,5.926478809145253
Belgium,8.968192508536603,9.112652887313441,1.498050269645529
Belize,-1.7393044023513577,3.453456097701228,1.5060328438600568
Benin,-1.445391681817143,4.239480051868624,-0.05892417194616062
Bhutan,-0.638984529343337,2.4691727170257205,-0.38306843399791635
Bolivia,-2.079829372827802,10.229716250192528,1.5416353170702295
Bosnia and Herzegovina,2.6710304042780195,10.303321494120343,-1.0971808265239107
Botswana,-1.4984772115716658,1.6463851210213747,1.7480332834848296
Brazil,4.159282033925179,11.840114713428264,2.300315649361337
Brunei,4.451844656430455,5.1390270456827585,-3.4862525149299164
Bulgaria,1.0591545424615205,9.698354823529252,-0.6001373374195156
Burkina Faso,0.9027486592652126,9.703456338990415,-4.798645309878184
Burma,-3.622579456597522,3.7716079052619804,4.577598055684877
Burundi,-0.8770735588081237,0.9449118847350884,1.125178279203318
Cabo Verde,-3.4749580627981125,4.044914467090506,3.3298167405711836
Cambodia,4.43909235250616,5.664927955089004,-3.480992882578086
Cameroon,-0.9337239780968491,9.880705713062497,-2.744856599516048
Canada,5.532461665079846,7.259076653446538,-0.17464617009632072
Central African Republic,-2.070426598841874,2.0460962690755315,2.1106016697255927
Chad,-2.697801533751722,3.747930861897365,2.7521773281583606
Chile,3.475560569607021,11.768379981396645,0.35605666134645036
China,-3.80790031214047,-17.35885608228467,-12.79804795198137
Colombia,1.7161921113520284,12.207223242832303,-0.5436092816688004
Congo (Brazzaville),1.5118659139925063e-15,-5.040389006627818e-16,-5.178270164967688e-16
Congo (Kinshasa),1.2225080063358227e-15,-5.281864156666141e-16,-1.2192398121457767e-15
Costa Rica,4.695596851642897,8.962277620332202,-4.321646626147175
Cote d'Ivoire,-2.8779400975046454,9.289735679133136,-1.1891347882483403
Croatia,7.341476188177747,8.600235255977942,-2.4458713793588056
Cuba,-2.4315323760327554,11.622849025176473,-0.8663538165444616
Cyprus,3.1448495834973285,10.030237190076733,-2.5504856298881555
Czechia,8.56107398632156,9.41250909237759,-1.8441888366467547
Denmark,8.571379026820699,7.198761305162175,2.479397253301968
Diamond Princess,-1.7633036149485415,-3.2294733724317095,-1.708150874276696
Djibouti,-4.174340078213366,7.380684594828026,2.7351915171832775
Dominica,1.5739549536572e-15,7.372089525647967e-16,-1.9800989124411105e-15
Dominican Republic,0.1462843876615621,11.20922583545166,-0.9118257735225799
Ecuador,2.144561886040783,10.373369999676088,-1.5344462013742626
Egypt,3.534584934703365,9.10691355494978,3.138013891127358
El Salvador,-4.513765855147578,8.073422480159172,2.8283508851291126
Equatorial Guinea,-2.6401098480727847,4.527187256563245,1.515365944481712
Eritrea,-1.2407984562573937,4.1166206735071675,-0.5581158535187569
Estonia,7.026934363978044,8.01503463642953,-1.6998517468738659
Eswatini,-3.2788208293881094,3.5872529686673857,2.8888848357013277
Ethiopia,-2.4037086778697097,7.267751668515826,-0.19484013904224273
Fiji,-0.7219180951849513,4.083420426763232,-1.1899576092650963
Finland,7.463573110317766,8.326832874747906,1.4327037224017034
France,10.288366585940906,4.332485481148356,-1.2736984434505896
Gabon,-3.5581393802812276,6.4046339006032404,1.572574489392741
Gambia,-0.6433695053155947,2.2075990332685635,-0.7687002589601146
Georgia,3.0267032006509735,7.629942108320966,2.1766907441666277
Germany,10.811420265398944,4.322625205180034,-2.2564191878229414
Ghana,-2.255891854971244,8.926310957354005,-2.0392174377648313
Greece,9.27848515561012,5.947281915476443,-0.5395825024905851
Grenada,-1.2593128806037504,2.515107019578554,0.6166271466546366
Guatemala,-3.7101915332732256,9.862521250732929,0.02835397854204866
Guinea,-16.67627052548698,16.05527495041263,19.538771019914037
Guinea-Bissau,-2.21080212360087,2.858315558632269,2.733126645193045
Guyana,-1.4180799855850905,6.007311957203868,-0.5436804152639569
Haiti,-3.114538821452379,4.935618330307524,1.9738719024892253
Holy See,-0.8957992750015359,2.138203764312101,-0.09927350657866371
Honduras,-1.5608185878457483,9.474236894884855,-2.6559540975969336
Hungary,2.3347982426366474,11.011076541492775,-0.3251812119274631
Iceland,11.722579461935732,5.697366741460176,-3.8825124737705345
India,2.5959247461160704,9.882061980499204,2.9078856632119656
Indonesia,3.604286532944798,11.433491618485291,1.1169163274651024
Iran,9.708803583901151,1.5911432234639793,1.2739729414874073
Iraq,6.771228495535734,6.375630058896723,1.1934708668417116
Ireland,5.142898368506888,11.114453804717943,1.0947668678986373
Israel,9.32715724288391,8.15979171827157,0.08712645067628506
Italy,10.082208521205033,2.2933015267986474,0.07317041860130565
Jamaica,-1.1047168257517237,7.399287544518246,1.7458311532850537
Japan,1.971226481900611,-0.020504903216080814,0.532622256316036
Jordan,1.299397480687962,8.042247885012792,-6.564503874324254
Kazakhstan,-2.8672320244373197,11.209756606716583,-0.15634083665310622
Kenya,-2.540185221926997,8.438321788968484,-0.04869706071505537
"Korea, South",8.034110271427686,-10.617721458462846,-7.393363263842573
Kosovo,-2.106925080912038,3.4928066412502767,1.8898297615265902
Kuwait,0.36628060714684,6.147895655698718,4.246988685869387
Kyrgyzstan,-3.3989027509500516,7.940655756418703,0.9035602065413579
Laos,-1.2181337071779288,3.813298601342281,-0.2512361667794577
Latvia,5.2162114354752624,9.42302243332613,-2.904320693951957
Lebanon,9.675480839744328,5.1935504227746945,-1.727467057318722
Liberia,-3.3855436674432493,4.85674831765941,3.2712251250157043
Libya,-2.569829694367668,4.178610439619993,2.113073140709801
Liechtenstein,1.406178409783364,4.4398622265084615,-2.582043634732331
Lithuania,2.613854009198391,11.408454021515032,-4.707855813344051
Luxembourg,8.054604006231749,9.819324263884733,-6.049393715326751
