Country,IC1,IC2,IC3
Afghanistan,-0.7216021878392951,-1.903573699658884,4.564079745173717
Albania,0.17914342984311452,-0.6065691574739684,7.112891808365507
Algeria,-1.3536768045724838,0.8673390591902125,11.550782909364568
Andorra,-3.4386004278372613,-2.942692314399366,5.154870313810212
Angola,-1.9380400158983255,-5.9034120738635405,8.925395328565159
Antigua and Barbuda,-6.928160906610044,-2.237409470913685,6.17353357671978
Argentina,-2.027037140956543,1.3090179851338746,5.601735052136633
Armenia,-2.4501714122922307,0.06611463564217397,0.3535719270423254
Australia,-2.8301000418649758,1.2024698524118065,-2.374499417218216
Austria,-3.906726328265091,-5.417697301134667,1.885448319446676
Azerbaijan,0.8668241846285966,2.882791962135043,1.734391844544522
Bahamas,-6.364321663903153,-4.581945926762859,8.65266120009648
Bahrain,1.6512597620087577,-0.33766900961738466,-3.2741427904780807
Bangladesh,3.507815419382598,-2.175365872577979,8.210021851179565
Barbados,-5.285152054281579,-1.943044185368041,4.97865384607044
Belarus,0.6198648978557257,-0.2096312202045216,-0.10064724845065535
Belgium,-3.3644327026238106,-4.926007228381226,9.247655869093672
Belize,-6.686365343271718,-2.878076783771068,6.729498657354588
Benin,-2.108774501384341,-1.2384745620750732,2.5020397903466955
Bhutan,-5.623131042878141e-16,1.3536885718197727e-15,-9.56575348346418e-16
Bolivia,-3.146339586131994,-3.9011116975676265,6.509282639776851
Bosnia and Herzegovina,-1.8864019681746185,-2.708853058249498,4.867937115567424
Botswana,-2.0688969488038027,-5.151450374585558,7.402645466837683
Brazil,-2.2461744815799682,-3.407880402618395,6.5620162233298425
Brunei,0.5058668779183629,0.6357638447335837,-1.110236168664071
Bulgaria,-2.5297671955949723,1.0814752853471454,5.635407680953028
Burkina Faso,-0.5703984847921908,-2.1335982948828316,7.624435131007946
Burma,-2.7104414275303346,-3.5945643639267018,5.7218552855898
Burundi,-6.74501694437649,-0.9622177021345047,4.892023373273842
Cabo Verde,5.557535914364954,-5.10308838142612,7.386044771843928
Cambodia,-1.1552693964679006e-15,-7.613530788515654e-16,7.030001246644461e-16
Cameroon,-1.0875690626992316,-1.4702232003048246,3.1612066353502226
Canada,-3.737510867076746,-1.8581415773974628,3.7299939612945994
Central African Republic,2.7669088605916e-15,1.587411198108238e-15,-1.4319719606785564e-16
Chad,-0.2511238045020561,-0.01947245087374009,0.14581710391101918
Chile,-3.7252242025915394,0.2285278269233098,-1.075030263895766
China,-0.6373577017850742,0.37810422401064175,2.3470739165988714
Colombia,-3.497070860102197,-2.0427502049515827,4.276138469344373
Congo (Brazzaville),-4.110078328312407e-16,1.1394748627127552e-16,-1.5367040840877505e-16
Congo (Kinshasa),-1.3149449164488376e-15,2.3762607092647936e-16,-3.355310213769876e-16
Costa Rica,0.09089221823259648,1.6772512231569472,-1.6893516583648636
Cote d'Ivoire,-1.0052229504219554,0.7432592687193584,-0.507754714510663
Croatia,-4.080902087471863,-0.8194679430352377,0.9574016796514644
Cuba,-0.47207018060526856,0.11017741976051791,5.095044692216951
Cyprus,0.8588817908007984,-1.634279979268601,2.754231307034497
Czechia,-4.934464984403941,-1.5576334356997037,1.593654558987916
Denmark,-1.9540046669155524,-5.079868259658104,5.048323323799946
