Date,IC1,IC2,IC3
2020-01-22,-12.048712902106322,0.39212396409134953,-1.6322181821392563
2020-01-23,-12.326388842489605,-0.21547815169311554,-3.111559544613461
2020-01-24,-12.304153766242111,-1.9515450066741113,-4.705006274675703
2020-01-25,-12.28239552508013,-0.8318005543582532,-3.088207999377435
2020-01-26,-12.135784247059599,-2.0620692822997464,-3.9369190359002584
2020-01-27,-12.63040221278624,-1.4341207394352715,-3.771914014923119
2020-01-28,-11.51703819501518,-2.3562961495224504,-3.62581622376487
2020-01-29,-11.781540024696191,-1.228227270323893,-2.3435307916898434
2020-01-30,-12.101127288641717,-1.1230685059183403,-3.4570052230349013
2020-01-31,-11.815465170785904,-2.4456001329495085,-3.328196167832209
2020-02-01,-11.533448875684039,-2.58553813289922,-2.8025651764770445
2020-02-02,-11.604232477486768,-0.8716056079567275,-2.222356674682374
2020-02-03,-11.525748947606505,-0.8411706261273643,-2.2359840993647735
2020-02-04,-12.092325322887916,-1.4207687171437486,-3.8889724100091327
2020-02-05,-12.264639455365883,-0.8227763598126727,-2.661874897543938
2020-02-06,-12.383145209030117,-1.4392001443533062,-3.5384746133853486
2020-02-07,-11.09369881791082,-1.8315863627643996,-1.2977120500379566
2020-02-08,-11.318147780900722,-1.1921656524814532,-3.136156028201368
2020-02-09,-11.98512434035998,-1.1125754472894047,-2.0825342863754295
2020-02-10,-11.81014573590811,-0.6463496251938585,-2.2025978062904983
2020-02-11,-11.897029574857898,-0.7943610824650336,-2.369622417808801
2020-02-12,-11.875743372771568,0.28881165600252817,-1.508511694649428
2020-02-13,-12.232434507919686,-0.34802513371264643,-2.953871322968028
2020-02-14,-12.500700639495214,0.22784199215172887,-2.5891873246998403
2020-02-15,-11.999184536025064,-0.3040447792983495,-2.0018729619850606
2020-02-16,-12.176907188613011,-0.1839377123543625,-2.6198953040142383
2020-02-17,-12.111202764278161,-0.4279968764232988,-2.5859368282778834
2020-02-18,-12.354715232930133,0.07021104792561512,-2.0977968802679965
2020-02-19,-11.98701690979699,0.28820649787147107,-1.8399601865632353
2020-02-20,-12.221586272393633,-1.420567986199365,-1.2364865350085719
2020-02-21,-11.403938872795246,-2.5406584749275414,-0.32141233924510404
2020-02-22,-11.928931587373082,-1.6005786338759351,-0.6056694264333159
2020-02-23,-11.385981235029085,-1.3032663836284388,-0.08800568095565262
2020-02-24,-10.838257662390285,-2.1603309098330374,-0.06386387277317207
2020-02-25,-10.097207494718706,-2.6031050707961487,1.4011357050325728
2020-02-26,-7.402035706391705,-5.439114073448931,3.5636521345151295
2020-02-27,-7.9192301876119,-6.603490964331612,4.2642794323330735
2020-02-28,-8.083141982802692,-5.1702364828961445,2.731272880147502
2020-02-29,-3.235056062284705,-9.85264715020155,6.255784117820296
2020-03-01,-3.5182353509072883,-10.139616485559582,7.813597805945495
2020-03-02,-5.228336517890708,-7.821435029227829,5.663095446350875
2020-03-03,-2.666998603721121,-8.47665455858239,6.750872399321936
2020-03-04,0.26416460456294644,-9.704696809840781,8.376095614731987
2020-03-05,0.10845036003490846,-9.206943842029576,7.296991134079369
2020-03-06,4.967606729384726,-12.231516119125128,7.298977736976471
2020-03-07,-2.38642974579055,-8.140109551356991,4.996169084816691
2020-03-08,8.118398953542236,-10.10730124458331,7.524611033324204
2020-03-09,-1.1501288776588723,-6.148686708762008,5.819486794305295
2020-03-10,11.066065336506075,-9.70119550777716,8.210563748428033
2020-03-11,11.831878729143451,-12.122954140110878,4.704569770111832
2020-03-12,1.1448234164948106,-3.4080024511249793,2.2691746176718564
2020-03-13,19.075250632484657,-11.406931549829595,5.2113349364863435
2020-03-14,12.87974159125284,-9.528996633453492,2.8426821647545264
2020-03-15,11.811633146486795,-6.955399574376937,-0.9774127149235612
2020-03-16,15.435544715513961,-5.314049941853955,-6.4909246573589305
2020-03-17,18.297106559354,-6.555909013534118,-7.452464772685524
2020-03-18,14.184540097573938,-4.999228256511827,-2.8495496036279917
2020-03-19,17.85687878431578,-6.4069088662485045,-6.4759912738054055
2020-03-20,17.892939074686442,-5.6157624052327515,-7.411214644102355
2020-03-21,18.21942528992214,-3.393122658638063,-5.447258726562807
2020-03-22,17.82065973941942,-5.727731098487624,-6.537184595903383
2020-03-23,15.362283241203878,-3.4547384781782,-5.789526089353533
2020-03-24,15.796797858058481,-2.639704893672158,-5.540140652692201
2020-03-25,16.053437948190478,-2.3085761103591587,-5.012683402534301
2020-03-26,15.93977239875614,0.0009289779516528236,-4.247759657195448
2020-03-27,15.84663022373068,0.976864197225697,-2.031333758411813
2020-03-28,14.376280902516749,0.6542435585992367,-2.9276720414625657
2020-03-29,13.645095627850925,2.2375826087118647,-3.3024904798818726
2020-03-30,11.149789780538198,2.6083436621390503,0.35274723040185596
2020-03-31,13.151271935208204,2.3094575543759395,-2.281178287669606
2020-04-01,12.001189982071775,3.203303395099011,-1.659476381389906
2020-04-02,13.004415129786933,3.205782153892182,-0.8794918318634921
2020-04-03,11.428174301497656,3.7928323883618305,-0.6478341596817119
2020-04-04,10.41763424738525,4.836611279939273,0.27050909720204647
2020-04-05,9.439064981676289,5.317832921483472,-0.6210103048864141
2020-04-06,8.078546835331887,6.017502227313908,0.08798694053951134
2020-04-07,8.315581639098152,6.6005744033238365,1.337490733086319
2020-04-08,8.173560523238912,7.043451000568657,0.5171720399791139
2020-04-09,7.529168381174408,5.693527694073871,0.9447206787302921
2020-04-10,7.382366080116674,7.615067650793169,2.517935242253153
2020-04-11,5.4406711055429735,7.26017124313222,1.3037034079603118
