Date,IC1,IC2,IC3,IC4,IC5,IC6,IC7,IC8,IC9,IC10
2020-01-22,0.023426266101010753,-0.017117461181386164,0.012632159686497198,0.02644573817812763,-0.030667104602199544,-0.010935690232049586,-0.030738652593811668,0.26500509267227956,0.02446764356433123,-0.03618941479375783
2020-01-23,0.023489507785401393,-0.01681241263925496,0.01046565787793126,0.02586580972045004,-0.033523810676059286,-0.01982042610134359,-0.027224137471455696,0.2598976772969658,0.02683828488323722,-0.03374803196654459
2020-01-24,0.02349009116812831,-0.01680959867166276,0.010445672645957487,0.025860460080440944,-0.03355016280433412,-0.019902384725458997,-0.02719171728158188,0.2598505631516378,0.026860153231787694,-0.0337255110519782
2020-01-25,0.02349349732492841,-0.016793168951674264,0.010328986239851042,0.025829225503457117,-0.03370402317211372,-0.020380910934712046,-0.027002427737851532,0.25957548101587324,0.026987834461767213,-0.0335940197294641
2020-01-26,0.023487259745986793,-0.01682325613832814,0.010542670081264855,0.025886424320504847,-0.033422263920753315,-0.019504602185284062,-0.027349067232488762,0.26007922956239093,0.026754016173854752,-0.03383481531007152
2020-01-27,0.02349061294204643,-0.01680708187637849,0.010427797977561862,0.025855675395363282,-0.033573731985570024,-0.01997568801411465,-0.02716272086342284,0.25980842455021524,0.026879712148052078,-0.03370536848468808
2020-01-28,0.023479483447092147,-0.0168607653960882,0.010809066616738828,0.025957733253337143,-0.03307099876236075,-0.018412120819783648,-0.027781217646010114,0.260707245544575,0.026462518316935812,-0.03413501165625678
2020-01-29,0.023474284736456453,-0.016885841564056547,0.0109871614303569,0.026005405611686235,-0.032836166493228035,-0.017681761226991458,-0.02807012435875743,0.2611270948083698,0.026267642447376623,-0.034335702750934755
2020-01-30,0.023471861515185478,-0.016897530059122652,0.011070174925596763,0.02602762663549085,-0.03272670655411032,-0.017341326256719608,-0.028204789459532597,0.2613227948074514,0.026176806971927515,-0.03442924881718045
2020-01-31,0.02347394757397007,-0.016887467879451574,0.010998711773197467,0.02600849740347828,-0.032820936441530245,-0.017634393740413562,-0.02808886140962029,0.26115432414110373,0.02625500376880404,-0.03434871857605334
2020-02-01,0.023474091366008146,-0.016886774293377652,0.010993785817895231,0.026007178825460154,-0.032827431707943514,-0.01765459488291493,-0.028080870488803464,0.26114271145758355,0.026260393874239625,-0.03434316762629878
2020-02-02,0.03405118248685435,-0.034321208135132376,0.05838444716430453,0.04648994972739404,-0.01321711637704352,0.13244812725132502,-0.09993509906289794,-0.05587089783118621,0.06356863720192571,-0.08497603635791245
2020-02-03,0.034050751762450655,-0.03432328574980492,0.05839920270423967,0.046493899485240055,-0.013197660016384517,0.1325086391209271,-0.09995903560799363,-0.0558361124129429,0.06355249131526422,-0.08499266404853403
2020-02-04,0.03404829526329159,-0.034335134761962635,0.05848335621662842,0.04651642566844231,-0.01308669687339195,0.13285374925519575,-0.10009555005294826,-0.055637724882703334,0.06346040840408868,-0.08508749477481511
2020-02-05,0.03404771801767793,-0.034337919126968,0.05850313120646342,0.04652171903090813,-0.013060621966208016,0.13293484568484437,-0.10012762918648271,-0.055591106372286835,0.06343877010782764,-0.08510977877217926
2020-02-06,0.03404824744027511,-0.034335365438004826,0.05848499451346833,0.046516864207175955,-0.0130845366478547,0.13286046784395508,-0.10009820771009678,-0.05563386268307977,0.06345861573806551,-0.08508934093518065
2020-02-07,0.03295299731188447,-0.032523428846022336,0.053538139484343945,0.044384538319257774,-0.015163225740552852,0.11715937225427064,-0.09259402240302872,-0.02285923375106557,0.059630075984408185,-0.07980200272981451
2020-02-08,0.03295533709447814,-0.03251214282042103,0.053457984389335376,0.04436308243104225,-0.015268916650136419,0.11683065946718063,-0.09246399422007145,-0.023048195220212682,0.05971778372570655,-0.07971167773137978
2020-02-09,0.03295769472329957,-0.03250077071289744,0.053377217927234176,0.04434146289229401,-0.01537541369617461,0.11649943948848995,-0.09233297427293291,-0.023238597955495162,0.059806160440409456,-0.0796206637969307
2020-02-10,0.03296078378926798,-0.03248587049195473,0.05327139425931924,0.04431313604932667,-0.015514950674032387,0.1160654609270936,-0.09216130634276101,-0.0234880717507368,0.059921955386292,-0.07950141345310974
2020-02-11,0.032963694019724286,-0.03247183289054487,0.05317169704841012,0.044286449134259866,-0.015646409427874593,0.11565660671689604,-0.0919995767960736,-0.023723102742107254,0.06003104660727615,-0.0793890668777816
2020-02-12,0.03296345551958997,-0.032472983304531675,0.053179867466028215,0.044288636188832865,-0.015635636078162506,0.11569011326749826,-0.09201283090745316,-0.02370384140735999,0.060022106328749006,-0.07939827394014595
2020-02-13,0.02994347938681591,-0.03476163464361077,0.052429244314763444,0.042429627480511566,-0.01636524695761386,0.11331852484342506,-0.10732381495778014,-0.03829076706371937,0.06783958733500407,-0.07920427216979459
2020-02-14,0.030026754028541474,-0.03469842758173184,0.05244910722685269,0.04248065204513391,-0.016346227450892346,0.11338050090022733,-0.10690039822945634,-0.03789061011166358,0.06762499339915722,-0.07920868572188466
2020-02-15,0.016539555998345997,-0.03298232344892154,0.06024763551339291,0.036701578838190925,-0.0032388459509645907,0.11464000172586375,0.0025511578196411038,-0.024454517846751005,0.05585048846482111,-0.06341110844956892
2020-02-16,0.010823382971840566,-0.04498957110916611,0.06644855944624173,0.027394525798771833,0.0007303133102558374,0.0971003058267517,0.047340623952351175,-0.031154263422428902,0.054244193601390024,-0.059230497794483056
2020-02-17,0.011473541864307211,-0.0440373655941999,0.0661166926399667,0.028125585002446395,0.0005151312006073028,0.09821132207055562,0.04632988118684139,-0.029356651131379953,0.05358149178686833,-0.05945089989901926
