Country,IC1,IC2,IC3,IC4,IC5,IC6,IC7,IC8,IC9,IC10
Afghanistan,-1.5063668148177953,-4.568128852020863,-2.8876515435030767,-3.717225447542834,-1.250480891543311,6.8122743913943875,-1.4088143091758647,-3.6688180690091916,2.049674717324975,3.341969973221982
Albania,1.4340905887569948,-3.3869221802377503,-2.6111576426824623,-6.049907266254797,-2.6843368618101797,6.131956272975729,-1.6124910988758918,-3.530649569208542,-1.184303206894129,-0.14220297489512995
Algeria,-0.9645292761001771,-3.3122659144962356,2.987702436567295,-0.9561045097807981,-2.4146072214277914,8.4026750271543,-4.172325915522297,-2.9768930517539602,-1.8456714503053797,0.30815780744658655
Andorra,0.1698990202299656,-1.9352642089891035,-3.4830649625588967,2.772423573770848,-2.3728820184108446,5.59355045162266,-3.9029060062621515,-6.564336406420039,-3.744224311877963,-2.8447693392172075
Angola,0.90123789574886,-1.3214017426377296,-2.2181398866215765,1.8556131959341462,-3.7919062067188545,4.123487743797589,-1.0848833037144066,0.9633472237446935,-0.1324967037904811,-0.3424597219653829
Antigua and Barbuda,0.36131204467501576,-0.564361460526098,-1.2974824280023884,1.1958478326686923,-3.527885268478479,2.787393395267199,-0.006760759827344435,0.17121139474258948,1.0818728857859838,-0.4527161069200571
Argentina,-2.4707087632570293,-2.6541512809257886,-2.1429793521691343,-4.014953211410696,-1.146127286125772,7.8905680242776475,-5.099793668509456,-3.309666544334136,-1.792171896695434,-0.09581041808806823
Armenia,1.9505180382724656,-3.2239239810868248,-3.2168119092617022,-3.4786636276576526,-1.1412169000834265,6.170730173175242,-4.331300151863169,-5.39780221203013,-3.3276828313083406,1.6617009730890815
Australia,-2.809935996338798,-0.13539851750361157,3.653419618268394,-4.260921535208365,-3.7066838040840233,2.6348924753246523,-5.63802768579082,-4.437610736365666,-3.2699073531284117,-8.821484631063885
Austria,-4.4273173361910985,2.639549605312858,5.473105642239921,-6.102332394041097,-3.345738476854883,6.068189957641669,-5.595600134053523,-4.202269643175144,-2.7315936745164433,-5.831096147526402
Azerbaijan,2.765387137717473,-2.9016808705253343,-1.011788538171794,-1.5932396870811638,-1.9834090867997292,8.65838599452407,-3.568730221036464,-1.9135941841659794,1.6012518813662058,-1.6192963574159993
Bahamas,1.0955393990942373,-3.1645878485400454,-1.7472968369569826,2.408817939164798,-0.7150843041181196,5.830150222974687,-2.3063276440306404,-0.06282859974217721,0.24215501988652832,-0.004505142666476406
Bahrain,-0.8457983071649288,4.473213887981321,-0.7271012975017925,-1.7148101852072506,-1.4428724000313478,7.15259228957781,-0.2893222184984309,1.4676968530547025,-1.050421021079062,0.14700381389055853
Bangladesh,3.326542527688944,-5.532083189220359,-2.11446695141184,1.856260644183577,-0.8516706795511554,8.924186102074595,0.1691815772238218,-1.4718329412301694,-4.254944476245585,4.490687198760896
Barbados,0.8116395326250816,-1.4686572892493286,-2.573390798718331,1.4639510118145658,-3.012654043215965,4.433873510964909,-2.4958680719022963,-2.255001181330238,0.7707514065414561,-1.9066513668103953
Belarus,2.676622492997249,-5.531106594004342,2.56917715277515,-2.426132561064915,1.3560782011120411,9.224416081959234,5.654314147015514,-3.887799838123285,-0.4739686787062739,2.379617548802084
Belgium,-3.558432568319826,-0.49199909470528824,4.7451982737532985,-3.677574613410536,-2.0389762519188106,9.54320792831344,-4.761156386648914,-2.96382916052324,-1.3944748303301109,-2.206478642313072
Belize,1.2111895079544552,-2.0863967516165083,-0.8519090877383401,1.0406630476374095,-0.5471255867451339,4.461054456988985,3.165180830965841,-0.004064549658307796,1.4746457212155688,-1.8965161099190797
Benin,0.9921560065262564,-2.8253590580528307,1.0114868578252627,0.9836652561290815,-6.517459107406683,2.847077599303262,2.1383673862466774,0.44090351074933504,-2.2875229692826933,0.8740352555959737
Bhutan,0.09518483757899553,0.2403381105972384,-1.4659932445058632,0.4304863292629422,-0.9517699684707009,1.574475024210723,-0.004968820005950112,-3.6366326334632784,1.9549593820565614,0.8821442451068447
Bolivia,0.6964813493717802,-3.7716949450068302,-3.9137021344957423,-0.49005254918310576,-1.5342049114832064,8.21065001240518,-1.0110215875931954,-2.952184212379592,-0.29419445444480563,1.9694558912581972
Bosnia and Herzegovina,2.0765445687424102,-3.3597675095633,-2.054586938289849,-5.621419095580531,-2.5255110740266264,7.103936403537172,-3.275725999008299,-3.9374236946047234,-0.25877196665207974,-1.097878593918077
Botswana,0.5210066244921226,-1.1262955182080794,-0.5889777941696276,0.466183722797089,0.34361055953504444,2.043643151997354,1.0702487665411848,0.20537241944947054,0.6040851432096271,0.9510528847453485
Brazil,-3.4200003415099327,-4.37951466725826,0.597780267410563,-3.3189803236081112,-1.4758467385050555,10.096230780075215,-2.919266997716451,-3.5211433481588643,-2.716818134028674,0.8471231976199495
Brunei,0.9003243395115411,-0.3716809929547827,-1.6404443508510649,-6.6061575610230845,-2.7719178798884734,1.5381033393320405,-3.5523711031692966,-2.2535643969616608,-3.7884402176646605,-1.2513584214586186
Bulgaria,1.3075575575302125,-2.6599339620543985,-3.250021779624031,-4.3650597464600205,-2.6828501652607852,6.193694176740633,-2.896158878053164,-3.010799577161684,-2.938373534731414,1.5485396127142674
Burkina Faso,3.546517768950591,-2.481528446402872,-2.3189875154935162,-1.825155666609198,-4.134330514052526,5.931243135261251,-2.239835344836903,-4.839800500681624,-3.6736937284034075,-2.984578213468439
Burma,1.4264294114703004,-2.0338263145479436,-2.340482333450457,0.9583280525054704,1.3627303111254532,5.319309623109306,2.312234053871707,1.577488045838527,2.0643922917595754,1.7456512299083375
Burundi,0.67418957029625,0.0357784682494866,-0.7829425820313484,0.09450608381722339,-0.022495379974223267,1.3850206806110577,0.8298080323574489,0.08980959196491108,0.8849736892973705,0.5080114224159062
Cabo Verde,1.148831265011501,-0.8422258643637439,-3.146493179770154,0.9606649380853834,-0.3156202698160633,4.4698651101451965,1.418458620195537,1.1214377751778706,-0.26754405564179734,3.0985248518837216
Cambodia,-4.155577289607177,-0.9448637570771132,-2.4447817904753544,-4.162449489045319,-2.2711880063853984,1.7100675665170424,-2.8127498289231916,-4.855954293183115,-3.5926541891499517,-0.754641760017127
