Date,IC1,IC2,IC3
2020-01-22,-6.3401753996970935,-1.5929716813850703,-0.857163594147745
2020-01-23,-6.310008877271427,-1.5756533422610142,-0.8074781466915874
2020-01-24,-6.309730601506253,-1.575493586555567,-0.8070198155749427
2020-01-25,-6.308105851841767,-1.5745608318520492,-0.8043437890530498
2020-01-26,-6.311081200566852,-1.5762689537729728,-0.8092443052828651
2020-01-27,-6.309481713375685,-1.5753507020364839,-0.8066098870469106
2020-01-28,-6.314790524523897,-1.578398444514485,-0.8153537075522095
2020-01-29,-6.31727032914149,-1.5798220788573123,-0.819438043170693
2020-01-30,-6.3184262148443695,-1.5804856628232946,-0.8213418323295959
2020-01-31,-6.317431156921528,-1.57991440869222,-0.8197029328421612
2020-02-01,-6.317362567576022,-1.5798750321433075,-0.8195899634957367
2020-02-02,-6.504696814125874,-1.8381101814178573,-0.8499002299785126
2020-02-03,-6.504902271294015,-1.8382281325977483,-0.8502386260053405
2020-02-04,-6.50607403067526,-1.8389008295049305,-0.8521685597360721
2020-02-05,-6.506349379014212,-1.8390589046003598,-0.8526220692667401
2020-02-06,-6.506096842434828,-1.8389139255384286,-0.8522061316001875
2020-02-07,-6.4861929675254535,-1.8118690726502298,-0.848261747572574
2020-02-08,-6.485076882386935,-1.811228337843367,-0.8464235115066525
2020-02-09,-6.483952284530345,-1.8105827159588215,-0.8445712546596548
2020-02-10,-6.482478788390762,-1.8097367945933018,-0.8421443486349208
2020-02-11,-6.481090597466214,-1.8089398462125443,-0.8398579436503667
2020-02-12,-6.481204362931504,-1.8090051579803605,-0.8400453198407087
2020-02-13,-6.443213551800431,-1.703365772048961,-0.7661296924134116
2020-02-14,-6.4442492828905324,-1.7062712610150121,-0.768148277426764
2020-02-15,-6.2240214223520915,-1.746675938148235,-0.8458308929490646
2020-02-16,-6.250597094031011,-1.8349480275089407,-0.8254838355723364
2020-02-17,-6.252346294479113,-1.8402452675806842,-0.8333278869285823
2020-02-18,-6.2545948185839455,-1.8490704429328455,-0.8380507935902876
2020-02-19,-6.0085546234956535,-1.4820863270323748,-0.5591437721686856
2020-02-20,-6.108115898678295,-1.5726486340838577,-0.6227704658859964
2020-02-21,-5.950796412879143,-1.4346833618484032,-0.48404252432844586
2020-02-22,-6.055413536168344,-1.5145314160367422,-0.5442714475871615
2020-02-23,-6.067097226296432,-1.584328669558737,-0.6225763919287806
2020-02-24,-6.011868778472168,-1.5281020733180906,-0.5700184015384613
2020-02-25,-6.033126402654982,-1.5424380967671847,-0.5784531451147428
2020-02-26,-5.988508115903331,-1.52700816285119,-0.5840348662516319
2020-02-27,-6.080716946016005,-1.4985948161407516,-0.5438141734563491
2020-02-28,-6.145097235007956,-1.5226796731555727,-0.556177684079122
2020-02-29,-6.176539723704915,-1.5087920937556702,-0.5061358259663578
2020-03-01,-6.278103423844943,-1.7700188881348071,-0.38398596588298667
2020-03-02,-6.13314853420303,-1.7637303067013643,-0.2790716906831732
2020-03-03,-5.909740707725067,-1.4335869579389537,-0.1324755115536845
2020-03-04,-5.7959716626340185,-1.2218751777262926,0.15452253494383655
2020-03-05,-5.829437749068587,-1.2194356210865078,0.11345877048610682
2020-03-06,-5.828200446529874,-1.1058002564483025,0.1729388594347897
2020-03-07,-5.927837535390441,-1.0952183847711958,0.15563251464752392
2020-03-08,-5.435188680794918,-0.8980277032706432,0.5092506060350146
2020-03-09,-5.50896528895362,-0.5384909691641987,0.7589489153559875
2020-03-10,-5.065247091657053,0.010065863014648567,1.1625062775629902
2020-03-11,-4.500415159717575,0.533827149762218,2.002733382035233
2020-03-12,-3.8265895101384224,1.887746313606548,3.381054987541129
2020-03-13,-3.177681631177237,4.3696564972905,5.527131459853496
2020-03-14,-3.1714611105214683,4.7079925202655115,5.8100044162948965
2020-03-15,-3.418802484783207,4.291632098859903,5.333684734922075
2020-03-16,-2.9832727591682233,4.55643647061262,5.180790216294577
2020-03-17,-3.0894240961040573,4.659068772111312,4.935960765463427
2020-03-18,-2.274598422845189,5.036643289028078,4.661956871447677
2020-03-19,-2.0633604782134354,5.251007247259055,4.24023073755753
2020-03-20,-1.82280264597094,5.841901813536904,3.654071914210709
2020-03-21,-1.2821993498176423,6.878143794212915,2.2887571985923296
2020-03-22,-1.3611097579735838,7.019476974008829,1.3125943784222633
2020-03-23,0.17576505049005908,7.645210525580992,-0.3823082571876905
2020-03-24,0.8736332359985238,7.893412812503864,-1.3112392457830462
2020-03-25,1.3675814829015418,7.814731270633232,-1.7293014053805393
2020-03-26,1.8005152700498046,7.361583641633069,-1.5833667330462684
2020-03-27,2.722632292008523,7.18601470403351,-2.543044871374824
2020-03-28,2.9793101344608286,6.82761239430328,-2.613808982253959
2020-03-29,4.385017429940173,5.906395420683347,-3.4662980885635095
2020-03-30,5.665706778428956,5.5376295079541755,-3.6999176535199076
2020-03-31,6.6777928545300895,4.809712110065267,-3.8472778903039826
2020-04-01,7.854076887554752,3.928747978157293,-3.9669723846034324
2020-04-02,8.36220804856478,3.484011970835013,-3.6378907312034072
2020-04-03,8.860138644797084,2.8194339077285764,-3.5799646198486754
2020-04-04,9.61933388226071,2.314422754778982,-3.3383873679034046
2020-04-05,9.996316486519419,1.6415940202045287,-2.8091345584677083
2020-04-06,10.63584977485526,0.871282466037566,-2.3012362468766385
2020-04-07,11.397562473886806,0.038967479669977836,-1.6673580184666452
2020-04-08,11.857419398141479,-0.37948100503481397,-1.4921600269995003
2020-04-09,11.746691383112463,-0.6910988051770189,-1.2038720419515572
