Date,IC1,IC2,IC3
2020-01-22,-6.340175399697113,-1.5929716813850734,-0.8571635941477475
2020-01-23,-6.310008877271431,-1.575653342261023,-0.8074781466915906
2020-01-24,-6.309730601506259,-1.5754935865555724,-0.8070198155749477
2020-01-25,-6.3081058518417725,-1.5745608318520523,-0.8043437890530508
2020-01-26,-6.311081200566857,-1.5762689537729773,-0.8092443052828648
2020-01-27,-6.309481713375689,-1.575350702036489,-0.8066098870469133
2020-01-28,-6.314790524523902,-1.578398444514489,-0.8153537075522126
2020-01-29,-6.317270329141495,-1.5798220788573163,-0.8194380431706964
2020-01-30,-6.318426214844377,-1.5804856628232984,-0.8213418323295987
2020-01-31,-6.3174311569215345,-1.5799144086922243,-0.8197029328421637
2020-02-01,-6.317362567576026,-1.5798750321433117,-0.8195899634957396
2020-02-02,-6.504696814125879,-1.8381101814178606,-0.8499002299785132
2020-02-03,-6.50490227129402,-1.838228132597751,-0.8502386260053418
2020-02-04,-6.506074030675264,-1.838900829504934,-0.8521685597360724
2020-02-05,-6.5063493790142175,-1.8390589046003627,-0.8526220692667404
2020-02-06,-6.506096842434833,-1.8389139255384312,-0.8522061316001885
2020-02-07,-6.486192967525458,-1.8118690726502324,-0.8482617475725747
2020-02-08,-6.485076882386941,-1.81122833784337,-0.8464235115066527
2020-02-09,-6.48395228453035,-1.810582715958824,-0.8445712546596552
2020-02-10,-6.482478788390766,-1.8097367945933052,-0.8421443486349218
2020-02-11,-6.481090597466219,-1.808939846212547,-0.839857943650368
2020-02-12,-6.48120436293151,-1.809005157980363,-0.8400453198407101
2020-02-13,-6.443213551800435,-1.7033657720489639,-0.7661296924134122
2020-02-14,-6.444249282890536,-1.706271261015015,-0.7681482774267647
2020-02-15,-6.224021422352096,-1.7466759381482377,-0.845830892949065
2020-02-16,-6.250597094031016,-1.8349480275089425,-0.8254838355723364
2020-02-17,-6.252346294479118,-1.8402452675806862,-0.8333278869285823
2020-02-18,-6.25459481858395,-1.849070442932847,-0.8380507935902874
2020-02-19,-6.008554623495658,-1.482086327032374,-0.5591437721686839
2020-02-20,-6.1081158986782995,-1.572648634083859,-0.6227704658859942
2020-02-21,-5.950796412879149,-1.4346833618484047,-0.4840425243284438
2020-02-22,-6.0554135361683485,-1.5145314160367436,-0.5442714475871601
2020-02-23,-6.067097226296436,-1.5843286695587373,-0.622576391928779
2020-02-24,-6.011868778472173,-1.528102073318091,-0.5700184015384601
2020-02-25,-6.033126402654987,-1.542438096767186,-0.5784531451147416
2020-02-26,-5.988508115903336,-1.527008162851191,-0.5840348662516314
2020-02-27,-6.080716946016008,-1.4985948161407536,-0.5438141734563484
2020-02-28,-6.1450972350079605,-1.5226796731555747,-0.5561776840791216
2020-02-29,-6.176539723704919,-1.5087920937556727,-0.5061358259663574
2020-03-01,-6.2781034238449465,-1.7700188881348093,-0.38398596588298606
2020-03-02,-6.133148534203032,-1.7637303067013665,-0.27907169068317256
2020-03-03,-5.909740707725072,-1.433586957938954,-0.13247551155368378
2020-03-04,-5.795971662634023,-1.221875177726294,0.15452253494383736
2020-03-05,-5.829437749068591,-1.219435621086509,0.11345877048610783
2020-03-06,-5.828200446529878,-1.105800256448304,0.1729388594347901
2020-03-07,-5.927837535390445,-1.0952183847711974,0.15563251464752448
2020-03-08,-5.435188680794923,-0.898027703270644,0.5092506060350157
2020-03-09,-5.5089652889536245,-0.5384909691641991,0.7589489153559881
2020-03-10,-5.065247091657058,0.01006586301464933,1.1625062775629917
2020-03-11,-4.50041515971758,0.5338271497622195,2.002733382035233
2020-03-12,-3.826589510138426,1.887746313606551,3.3810549875411295
2020-03-13,-3.1776816311772396,4.369656497290507,5.527131459853499
2020-03-14,-3.17146111052147,4.707992520265518,5.8100044162948965
2020-03-15,-3.41880248478321,4.291632098859911,5.333684734922079
2020-03-16,-2.9832727591682255,4.556436470612629,5.18079021629458
2020-03-17,-3.0894240961040604,4.659068772111319,4.93596076546343
2020-03-18,-2.2745984228451914,5.036643289028087,4.661956871447681
2020-03-19,-2.063360478213437,5.251007247259065,4.240230737557533
2020-03-20,-1.8228026459709412,5.8419018135369125,3.654071914210713
2020-03-21,-1.282199349817644,6.878143794212924,2.288757198592333
2020-03-22,-1.3611097579735854,7.019476974008839,1.3125943784222662
2020-03-23,0.17576505049005964,7.645210525581003,-0.3823082571876873
2020-03-24,0.8736332359985244,7.8934128125038745,-1.3112392457830446
2020-03-25,1.3675814829015425,7.814731270633244,-1.72930140538054
2020-03-26,1.8005152700498062,7.3615836416330795,-1.5833667330462677
2020-03-27,2.7226322920085257,7.186014704033519,-2.5430448713748253
2020-03-28,2.9793101344608313,6.82761239430329,-2.613808982253959
2020-03-29,4.385017429940176,5.906395420683355,-3.46629808856351
2020-03-30,5.6657067784289605,5.537629507954182,-3.6999176535199094
2020-03-31,6.677792854530093,4.8097121100652735,-3.8472778903039844
2020-04-01,7.854076887554759,3.9287479781573,-3.9669723846034355
2020-04-02,8.362208048564787,3.4840119708350175,-3.6378907312034117
2020-04-03,8.860138644797091,2.8194339077285817,-3.579964619848678
2020-04-04,9.619333882260717,2.3144227547789846,-3.338387367903407
2020-04-05,9.996316486519426,1.6415940202045307,-2.8091345584677128
2020-04-06,10.635849774855267,0.8712824660375668,-2.3012362468766425
2020-04-07,11.397562473886815,0.03896747966997758,-1.6673580184666468
2020-04-08,11.857419398141488,-0.37948100503481463,-1.4921600269995023
2020-04-09,11.746691383112472,-0.6910988051770205,-1.203872041951559
2020-04-10,11.791422452228439,-1.0459818603411353,-1.012415841245831
