Country,IC1,IC2,IC3,IC4,IC5,IC6,IC7,IC8,IC9,IC10
Afghanistan,-1.0381512593758426,1.7399437573878156,0.48902718105575144,-1.2471153265571155,-0.5968965296665147,0.47625699357517176,-0.7378555916211095,-0.6528300664082018,-2.5768668837683566,3.61460272087362
Albania,-1.6409972048050543,1.7943637180024223,-0.707039521015712,-3.2654454209452592,1.4906443896588608,-0.7225918363203083,-1.2077161599078572,-0.9841410111663479,-3.8252173244458967,3.946299216449642
Algeria,-2.7429347586584125,1.7196590097152564,-3.3401310464854577,-3.295502019997778,2.7277226411309607,0.754768267306853,-2.016001053018505,-1.8476810168716788,-5.99095986805177,7.351104529377895
Andorra,1.2026863240208898,-0.5485302597389304,0.6548688076449819,-2.303596292963482,-0.6770408261276271,0.5524255292402978,-0.8598475295805494,-0.758990535599213,-3.4543277506313492,5.16948358513674
Angola,1.1879002970561923,0.37877199935815864,1.1547363425703008,-7.263397184014592,-1.0667233934327407,0.9018121434264141,-1.3989103580234064,-1.22572677052482,-5.450019968436142,6.377281406414119
Antigua and Barbuda,0.7433894357278652,-0.8473019864617253,0.9925501827801576,1.3316765269330622,-0.7476904912684208,0.7423493595115571,-1.0856478887012502,-0.9411355240073039,-4.566976079672906,8.257912893949879
Argentina,0.07632408155325722,0.6003086112251551,-0.9973181809007472,-1.3686085377000081,2.3665431916162247,-2.5092258627206285,-1.3886516280554975,-1.223793432908699,-2.691669906263622,4.252209479836037
Armenia,0.2241662740222289,-2.0826477325004937,0.13720123376548615,0.6195520080205424,-0.01421630411573278,0.06505239019327379,-0.10881867388103182,-0.08372808023001999,-0.33339701653446047,1.6791647717985851
Australia,2.2303311152265284,-1.990511945674505,0.4236191394424633,2.3754734319945294,-0.3061376707514972,-2.840770874792989,-0.514313559842324,-1.3185569546081275,0.9261114734022559,-0.2691792628118849
Austria,1.5857564611484467,-0.657469607117799,3.143580523960745,-0.6253672935575361,-3.7678811143650153,0.5643805359374131,-0.247602829819812,-0.17340206138646183,-2.209491835485764,4.212342201248198
Azerbaijan,-0.4600414453987197,1.240329530198691,-1.9763171385022706,-0.2730748915962976,2.873785044846873,0.21206742475525517,-0.3833194701226631,-0.385365554817563,0.3425191059344795,0.4782081434057403
Bahamas,0.9472990537808856,-1.7639078851744427,1.1687660813966125,-2.0186863435755567,-1.0983553065122913,0.9507547489932968,-1.4944247295361297,-1.3174791997199762,-7.602704034995389,8.195424347489993
Bahrain,0.4126954201762467,0.2936002616481969,1.7549440121494384,0.5518319242168399,0.17009778152714067,-0.37026658064424434,0.575890304895624,0.5094345932775278,1.1263100723243156,-3.2832771342366023
Bangladesh,-3.82621360264742,3.5319847674708593,-2.1005084873936966,-4.784571187670354,-1.0386583083359586,0.7876467876031091,-1.297313597584793,-1.1584805846821489,-4.614116574754979,2.693420967170582
Barbados,0.6260058571403972,-0.7467096729182504,0.7228590195783373,0.7172697002731084,-0.6544816195123319,0.5686676807194919,-0.8729291125034954,-0.7592062066109043,-3.829730631161905,6.330543797276262
Belarus,-0.05203465903082206,-0.11370474263767405,-0.05980203451528898,-0.3495464738959889,0.01819627373742051,-0.01631340774972769,0.021482134738359967,0.024897097837340683,-0.6194777237383616,-0.911750303003698
