Date,IC1,IC2,IC3,IC4,IC5,IC6,IC7,IC8,IC9,IC10
2020-01-22,-18.110634641168755,-4.492956831957022,3.3572101902137517,2.701160568859915,-1.4874187508500902,-0.8338643519805645,-0.5639257955638554,0.5697631987352221,0.12994483123244063,0.20861149574561844
2020-01-23,-18.1118073893173,-4.493570904730925,3.3596733434974833,2.7024833554398597,-1.4899896122841025,-0.8332097924680064,-0.5657701320190283,0.5697473574981476,0.13086925835091845,0.20872554855958309
2020-01-24,-18.111698966465077,-4.493514132506053,3.3594456201752876,2.702361061242196,-1.4897519311334626,-0.833270307770795,-0.5655996195188102,0.5697488220513927,0.1307837932619434,0.20871500415462346
2020-01-25,-18.11106592537841,-4.493182660402199,3.358116027599653,2.70164703048032,-1.4883641984664842,-0.833623634327431,-0.5646040598539122,0.5697573730381841,0.13028479409630056,0.20865343925905736
2020-01-26,-18.112225191960405,-4.493789673976751,3.3605508652003047,2.7029546106961844,-1.4909055060363228,-0.8329765994378079,-0.5664271943616078,0.5697417139072971,0.1311985942734989,0.2087661809555392
2020-01-27,-18.11160199373378,-4.493463355777754,3.359241945838368,2.7022516820649707,-1.4895393505761227,-0.8333244322849134,-0.5654471141887365,0.5697501319387916,0.13070735381271034,0.2087055733037662
2020-01-28,-18.11367043273807,-4.494546428966639,3.363586341804254,2.7045847519228574,-1.4940737172014584,-0.8321699504568439,-0.5687000696213322,0.5697221918966882,0.13233781565640795,0.2089067343878728
2020-01-29,-18.11463662355759,-4.495052344475779,3.365615657384725,2.7056745547516257,-1.4961917701857195,-0.8316306791796713,-0.5702195612132087,0.5697091407928737,0.13309942248247833,0.20900069896324264
2020-01-30,-18.115086984100763,-4.495288161644493,3.3665615612875843,2.706182533283403,-1.4971790363376907,-0.8313793142314628,-0.5709278261282115,0.5697030574167128,0.1334544224027283,0.20904449769983655
2020-01-31,-18.114699285883287,-4.495085155636645,3.365747268688897,2.705745233936748,-1.496329136556058,-0.831595704729772,-0.5703181078719932,0.5697082943632678,0.13314881650902347,0.20900679303773345
2020-02-01,-18.114672561844028,-4.495071162431936,3.3656911394977063,2.7057150908915144,-1.4962705529616436,-0.8316106205274482,-0.5702760799908283,0.5697086553460102,0.13312775109388295,0.20900419405527282
2020-02-02,-18.08328461682478,-4.461017490083868,3.322970351537125,2.6668446945354485,-1.5062289636891846,-0.8484668851882808,-0.6048216991087167,0.5878471497061859,0.11632951579741135,0.15700151260694398
2020-02-03,-18.083364667820835,-4.461059406276413,3.323138484715629,2.666934987053432,-1.506404448953236,-0.8484222053983168,-0.6049475922687112,0.5878460683940485,0.11639261656777881,0.15700929777494477
2020-02-04,-18.08382121312639,-4.4612984619019045,3.3240973786349546,2.6674499416104402,-1.5074052731458674,-0.8481673884770212,-0.60566558372452,0.5878399014754051,0.1167524916712196,0.15705369799580077
2020-02-05,-18.083928495383784,-4.46135463689009,3.3243227063363117,2.6675709492884496,-1.507640453920552,-0.8481075097876436,-0.6058343024545796,0.5878384523290767,0.11683705767815628,0.15706413147493953
2020-02-06,-18.08383010113011,-4.4613031158261975,3.3241160463391686,2.6674599667228747,-1.5074247571467794,-0.8481624277125199,-0.6056795615502785,0.5878397814181066,0.11675949770374355,0.1570545623773255
2020-02-07,-18.065252859812784,-4.441269646501674,3.2986713287748017,2.6444780772710597,-1.5127755141852652,-0.8581435316332661,-0.6255470183577645,0.598453044476747,0.10676252555163702,0.12661389147218194
2020-02-08,-18.064818006515466,-4.441041949215724,3.297757995141715,2.6439875899429537,-1.5118222425276684,-0.8583862413426575,-0.624863141099144,0.5984589183842726,0.10641974932888887,0.1265716008556673
2020-02-09,-18.06437983646086,-4.440812515213886,3.296837695237457,2.6434933615200173,-1.510861699979537,-0.8586308022722295,-0.6241740477023449,0.5984648370938638,0.10607435864847364,0.12652898767586038
2020-02-10,-18.06380572734252,-4.440511900986302,3.2956318789999166,2.642845802333417,-1.5096031561113623,-0.8589512364465475,-0.6232711681049459,0.5984725920399403,0.10562181302849352,0.12647315406780865
2020-02-11,-18.063264855163496,-4.440228690239215,3.2944958711661245,2.642235732336081,-1.5084174732113453,-0.8592531197028065,-0.6224205589792088,0.5984798980283802,0.10519546666373304,0.12642055283873305
2020-02-12,-18.063309180892777,-4.440251900016664,3.29458896964235,2.6422857289870283,-1.5085146426744362,-0.85922837966993,-0.6224902683695083,0.5984792992856853,0.10523040673696327,0.12642486363143055
2020-02-13,-17.946432501421082,-4.300717224276899,2.8313559239363144,1.9072126106284486,-0.9950541069187179,-0.3362166478347132,-0.2444958324474803,-0.03665013859034315,0.006482837406827123,-0.19369362624817044
2020-02-14,-17.945158957441624,-4.29922542084674,2.8263879081356245,1.899423397806145,-0.9895532237975371,-0.33073267490042774,-0.24044800307083483,-0.04333808565247011,0.005409256073385106,-0.19706893661097372
2020-02-15,-17.896206578786934,-4.02582317915256,2.4098043133062235,1.3494489670288943,-0.6445256769651514,-0.0855477626340714,-0.021942334349946625,-0.1704179061767185,-0.018211646511823512,-0.14895592289862689
2020-02-16,-17.69395606673543,-3.740210865389066,1.9904027373538398,0.7467936579602179,-0.17232703127419216,0.24427734782915825,0.3194625916184231,-0.5840347399731035,-0.00951132922258137,-0.2568221746800693
2020-02-17,-17.683612272720225,-3.7266779915692605,1.9621799105605853,0.704735646629891,-0.14085589470214924,0.2706047436203054,0.342419454673559,-0.6166412713886926,-0.012518630673146736,-0.27009006039263544
